# Gregorian month start,lunar year,lunar month,leap month
# Source: https://raw.githubusercontent.com/manakai/data-locale/241fa20712a179b2287d801bb30b51af227461e6/data/calendar/kyuureki-map.txt
# Source SHA-256: cfd10efe073a8a8a7ba0de7c53402a7c67a0c8a91c5c95fd14e98d1fc5eb1dfb
1924-08-30,1924,8,false
1924-09-29,1924,9,false
1924-10-28,1924,10,false
1924-11-27,1924,11,false
1924-12-26,1924,12,false
1925-01-24,1925,1,false
1925-02-23,1925,2,false
1925-03-24,1925,3,false
1925-04-23,1925,4,false
1925-05-23,1925,4,true
1925-06-21,1925,5,false
1925-07-21,1925,6,false
1925-08-19,1925,7,false
1925-09-18,1925,8,false
1925-10-18,1925,9,false
1925-11-16,1925,10,false
1925-12-16,1925,11,false
1926-01-14,1925,12,false
1926-02-13,1926,1,false
1926-03-14,1926,2,false
1926-04-12,1926,3,false
1926-05-12,1926,4,false
1926-06-10,1926,5,false
1926-07-10,1926,6,false
1926-08-08,1926,7,false
1926-09-07,1926,8,false
1926-10-07,1926,9,false
1926-11-05,1926,10,false
1926-12-05,1926,11,false
1927-01-04,1926,12,false
1927-02-02,1927,1,false
1927-03-04,1927,2,false
1927-04-02,1927,3,false
1927-05-01,1927,4,false
1927-05-31,1927,5,false
1927-06-29,1927,6,false
1927-07-29,1927,7,false
1927-08-27,1927,8,false
1927-09-26,1927,9,false
1927-10-26,1927,10,false
1927-11-24,1927,11,false
1927-12-24,1927,12,false
1928-01-23,1928,1,false
1928-02-21,1928,2,false
1928-03-22,1928,2,true
1928-04-20,1928,3,false
1928-05-19,1928,4,false
1928-06-18,1928,5,false
1928-07-17,1928,6,false
1928-08-15,1928,7,false
1928-09-14,1928,8,false
1928-10-14,1928,9,false
1928-11-12,1928,10,false
1928-12-12,1928,11,false
1929-01-11,1928,12,false
1929-02-10,1929,1,false
1929-03-11,1929,2,false
1929-04-10,1929,3,false
1929-05-09,1929,4,false
1929-06-07,1929,5,false
1929-07-07,1929,6,false
1929-08-05,1929,7,false
1929-09-03,1929,8,false
1929-10-03,1929,9,false
1929-11-01,1929,10,false
1929-12-01,1929,11,false
1929-12-31,1929,12,false
1930-01-30,1930,1,false
1930-02-28,1930,2,false
1930-03-30,1930,3,false
1930-04-29,1930,4,false
1930-05-28,1930,5,false
1930-06-26,1930,6,false
1930-07-26,1930,6,true
1930-08-24,1930,7,false
1930-09-22,1930,8,false
1930-10-22,1930,9,false
1930-11-20,1930,10,false
1930-12-20,1930,11,false
1931-01-19,1930,12,false
1931-02-17,1931,1,false
1931-03-19,1931,2,false
1931-04-18,1931,3,false
1931-05-18,1931,4,false
1931-06-16,1931,5,false
1931-07-15,1931,6,false
1931-08-14,1931,7,false
1931-09-12,1931,8,false
1931-10-11,1931,9,false
1931-11-10,1931,10,false
1931-12-09,1931,11,false
1932-01-08,1931,12,false
1932-02-06,1932,1,false
1932-03-07,1932,2,false
1932-04-06,1932,3,false
1932-05-06,1932,4,false
1932-06-04,1932,5,false
1932-07-04,1932,6,false
1932-08-02,1932,7,false
1932-09-01,1932,8,false
1932-09-30,1932,9,false
1932-10-29,1932,10,false
1932-11-28,1932,11,false
1932-12-27,1932,12,false
1933-01-26,1933,1,false
1933-02-24,1933,2,false
1933-03-26,1933,3,false
1933-04-25,1933,4,false
1933-05-24,1933,5,false
1933-06-23,1933,5,true
1933-07-23,1933,6,false
1933-08-21,1933,7,false
1933-09-20,1933,8,false
1933-10-19,1933,9,false
